label_plantvillage,cultivo,tipo,patogeno,problema,identificacion,tratamiento,prevencion,fuente
Apple___Apple_scab,manzano,hongo,Venturia inaequalis,roña o sarna del manzano,"manchas circulares de color oliva a marrón, de aspecto aterciopelado, en el haz de la hoja; con el tiempo se oscurecen y agrandan, y en frutos generan lesiones corchosas que pueden agrietarse.","aplica fungicidas protectantes (captan, mancozeb o miclobutanil, según disponibilidad local) desde la brotación, sobre todo si el año anterior hubo presencia de la enfermedad; una vez visibles los síntomas ya no se pueden revertir, solo evitar que avancen.",recoge y destruye la hojarasca caída en otoño (ahí sobrevive el hongo durante el invierno) y poda para mejorar la ventilación del follaje.,"UMN Extension, 'Apple scab of apples and crabapples', https://extension.umn.edu/plant-diseases/apple-scab ; Wisconsin Horticulture, 'Apple Scab', https://hort.extension.wisc.edu/articles/applescab/"
Apple___Black_rot,manzano,hongo,Botryosphaeria obtusa,podredumbre negra (black rot),"manchas circulares marrón-rojizas en hojas ('ojo de rana') y pudrición negra concéntrica en frutos, que terminan momificándose.","poda y destruye ramas con cancros visibles, retira los frutos momificados del árbol y del suelo (ahí sobrevive el hongo), y aplica fungicida en floración si hay antecedentes de la enfermedad.","evita heridas de poda mal cicatrizadas y mantén el árbol con buen vigor mediante riego y fertilización adecuados, ya que árboles estresados son más susceptibles.","Penn State Extension, 'Grape Disease - Black Rot' (biología de Botryosphaeria/Guignardia comparable), https://extension.psu.edu/grape-disease-black-rot ; conocimiento agronómico general de manejo de podredumbre negra en pomáceas."
Apple___Cedar_apple_rust,manzano,hongo,Gymnosporangium juniperi-virginianae,roya del manzano y del cedro/enebro,"manchas amarillo-anaranjadas brillantes en el haz de la hoja poco después de la floración, que se agrandan y desarrollan puntos negros en el centro.","aplica fungicida protectante en primavera, cuando aparecen las estructuras gelatinosas anaranjadas ('cuernos') en los cedros/enebros cercanos, que son la fuente de las esporas que infectan el manzano.","esta enfermedad necesita dos hospederos (cedro/enebro y manzano) para completar su ciclo; evita sembrar manzanos cerca de cedros o enebros, o retira los hospederos alternos si es posible.","UMN Extension, 'Cedar-apple rust and related rust diseases', https://extension.umn.edu/plant-diseases/cedar-apple-rust"
Apple___healthy,manzano,sano,,sin enfermedad detectada,"hojas de color uniforme, sin manchas, deformaciones ni signos de plagas.","no se requiere tratamiento; mantén el programa normal de riego, fertilización y monitoreo.","conserva buena ventilación del follaje mediante poda, elimina hojarasca en otoño y monitorea semanalmente en busca de síntomas tempranos.","Buenas prácticas generales de manejo fitosanitario de manzano (síntesis de las fuentes de manejo citadas para roña, podredumbre negra y roya en esta misma base de conocimiento)."
Blueberry___healthy,arándano,sano,,sin enfermedad detectada,"follaje verde, sin manchas ni deformaciones visibles.",no se requiere tratamiento; continúa el monitoreo regular.,mantén buen drenaje del suelo (el arándano es sensible al encharcamiento) y buena ventilación entre plantas.,Buenas prácticas generales de manejo fitosanitario de arándano.
Cherry___Powdery_mildew,cerezo,hongo,Podosphaera clandestina,oídio o mildiú polvoso,"crecimiento fúngico blanco y polvoso en hojas y superficie de los frutos, que los vuelve no comercializables.","aplica fungicidas específicos para oídio durante toda la temporada, tanto en hojas como en fruto, para minimizar la presión de la enfermedad y proteger el fruto en desarrollo.","favorece la ventilación de la copa con poda adecuada, ya que el hongo se favorece con follaje denso y poca circulación de aire.","WSU Tree Fruit, 'Cherry Powdery Mildew', https://treefruit.wsu.edu/crop-protection/disease-management/cherry-powdery-mildew/"
Cherry___healthy,cerezo,sano,,sin enfermedad detectada,hojas y fruto sin crecimiento blanco polvoso ni manchas.,no se requiere tratamiento; continúa el monitoreo regular.,mantén una poda que favorezca la ventilación de la copa para reducir el riesgo de oídio.,Buenas prácticas generales de manejo fitosanitario de cerezo.
Corn___Cercospora_leaf_spot Gray_leaf_spot,maíz,hongo,Cercospora zeae-maydis,mancha gris de la hoja (gray leaf spot),"lesiones rectangulares, delimitadas por las venas de la hoja, de color gris a marrón, que inician como pequeños puntos necróticos con halo.","en híbridos susceptibles y bajo alta presión de la enfermedad se justifica fungicida foliar; en general, la principal palanca de manejo es la resistencia genética del híbrido, no el fungicida.",es más severa en sistemas de labranza mínima o maíz-sobre-maíz (el hongo sobrevive en el rastrojo); rota cultivos e incorpora el rastrojo para acelerar su descomposición.,"UMN Extension, 'Gray leaf spot on corn', https://extension.umn.edu/corn-pest-management/gray-leaf-spot-corn ; NC State Extension, 'Gray Leaf Spot in Corn', https://content.ces.ncsu.edu/gray-leaf-spot-in-corn"
Corn___Common_rust,maíz,hongo,Puccinia sorghi,roya común,"pústulas pequeñas, alargadas, de color marrón-rojizo, distribuidas en ambas caras de la hoja.","en la mayoría de los casos NO se justifica tratamiento fungicida: es considerada una enfermedad menor cuando se usan híbridos resistentes, que son ampliamente efectivos y están disponibles comercialmente.",usa híbridos con resistencia genética a roya común; es la estrategia de manejo más costo-efectiva.,"University of Arkansas Extension (UAEX), 'Corn Diseases', https://uaex.uada.edu/farm-ranch/pest-management/plant-disease/corn.aspx"
Corn___Northern_Leaf_Blight,maíz,hongo,Exserohilum turcicum,tizón foliar del norte,"lesiones alargadas en forma de cigarro (1-7 pulgadas), de color gris-verdoso a marrón, que siguen el sentido de la nervadura.",aplica fungicida foliar si la enfermedad aparece antes de la etapa de floración (VT-R1) en híbridos susceptibles; después de floración el impacto económico es menor y muchas veces no se justifica.,rota cultivos con especies no hospederas (el hongo sobrevive en rastrojo de maíz) y prioriza híbridos con resistencia genética.,"Golden Harvest / Purdue University, 'Northern Corn Leaf Blight and Gray Leaf Spot Corn', https://www.goldenharvestseeds.com/agronomy/articles/northern-corn-leaf-blight-and-gray-leaf-spot"
